neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Bronx,Entire home/apt,174,5,196,3.45,20
Staten Island,Entire home/apt,55,8,138,2.98,89
Queens,Shared room,165,6,55,2.51,295
Staten Island,Private room,332,7,178,4.88,111
Staten Island,Entire home/apt,261,3,148,3.42,300
Brooklyn,Shared room,398,7,98,1.88,76
Queens,Private room,105,8,75,4.0,176
Queens,Entire home/apt,357,6,25,4.42,342
Queens,Private room,374,9,114,0.63,147
Staten Island,Shared room,331,6,146,1.0,100
Bronx,Entire home/apt,481,9,108,1.08,245
Queens,Private room,318,4,187,3.46,116
Staten Island,Entire home/apt,30,8,198,3.02,91
Brooklyn,Private room,176,4,46,3.09,27
Bronx,Shared room,316,2,70,4.7,24
Brooklyn,Shared room,493,9,153,3.88,57
Bronx,Entire home/apt,171,5,39,0.64,296
Staten Island,Private room,82,4,132,1.74,133
Manhattan,Entire home/apt,333,2,148,2.18,330
Bronx,Entire home/apt,98,1,131,1.98,248
Brooklyn,Private room,390,7,22,3.35,37
Staten Island,Private room,119,6,105,4.46,74
Bronx,Private room,475,2,83,1.53,141
Manhattan,Shared room,249,8,142,2.76,321
Manhattan,Entire home/apt,479,4,115,3.95,167
Queens,Entire home/apt,221,8,108,2.08,258
Queens,Shared room,483,7,135,0.84,354
Brooklyn,Private room,92,5,40,2.37,224
Bronx,Shared room,102,8,111,0.28,151
Bronx,Shared room,190,9,146,4.71,18
Queens,Shared room,198,5,111,0.37,145
Bronx,Entire home/apt,118,5,102,2.19,240
Bronx,Shared room,205,2,45,2.65,343
Manhattan,Entire home/apt,298,5,155,4.93,236
Queens,Entire home/apt,102,3,67,0.83,34
Staten Island,Entire home/apt,274,7,121,0.57,189
Queens,Private room,106,5,14,0.04,0
Staten Island,Entire home/apt,188,8,164,0.78,152
Manhattan,Entire home/apt,488,1,128,1.04,125
Brooklyn,Private room,353,3,194,3.15,344
Bronx,Entire home/apt,127,3,110,1.1,225
Manhattan,Shared room,410,9,23,0.1,220
