Airline,Source,Destination,Total_Stops,Duration_Hours,Days_Left,Price
SpiceJet,Chennai,Ahmedabad,2,3,50,9030
SpiceJet,Delhi,Ahmedabad,0,1,22,3838
IndiGo,Mumbai,Jaipur,2,5,22,10319
IndiGo,Kolkata,Hyderabad,1,4,59,8649
Air India,Chennai,Ahmedabad,2,6,51,10469
SpiceJet,Delhi,Hyderabad,0,8,27,8673
Air India,Bangalore,Goa,0,1,48,4035
Vistara,Kolkata,Hyderabad,1,2,18,7108
IndiGo,Kolkata,Hyderabad,0,6,15,9459
Air India,Mumbai,Pune,1,1,50,3990
IndiGo,Chennai,Pune,0,3,57,6566
IndiGo,Bangalore,Hyderabad,2,9,29,13656
SpiceJet,Bangalore,Pune,2,9,38,13542
Air India,Chennai,Pune,2,1,60,8644
Air India,Chennai,Goa,0,2,34,4714
Air India,Chennai,Jaipur,1,10,15,14372
Go First,Kolkata,Ahmedabad,1,9,43,10746
Vistara,Delhi,Jaipur,0,2,53,7022
IndiGo,Delhi,Hyderabad,0,1,34,4987
Vistara,Chennai,Jaipur,2,8,23,12006
Go First,Delhi,Pune,2,4,47,9386
Go First,Mumbai,Ahmedabad,0,2,40,4506
Air India,Mumbai,Jaipur,0,1,32,3077
Air India,Delhi,Jaipur,1,6,37,10386
Go First,Delhi,Ahmedabad,2,8,11,13167
SpiceJet,Delhi,Hyderabad,2,1,46,8470
IndiGo,Kolkata,Ahmedabad,2,5,6,10509
Vistara,Kolkata,Hyderabad,0,2,51,4457
Go First,Chennai,Jaipur,0,1,51,2602
IndiGo,Delhi,Hyderabad,2,2,55,7887
Air India,Chennai,Hyderabad,1,10,10,14849
SpiceJet,Bangalore,Hyderabad,0,9,32,10571
SpiceJet,Delhi,Hyderabad,2,6,23,13068
Go First,Mumbai,Pune,2,8,31,14511
IndiGo,Chennai,Pune,1,6,22,11774
Air India,Bangalore,Goa,0,10,22,11954
SpiceJet,Bangalore,Jaipur,0,3,57,7414
Go First,Chennai,Hyderabad,2,4,35,9877
Air India,Delhi,Jaipur,0,5,37,9245
Go First,Mumbai,Jaipur,1,7,25,9525
Vistara,Delhi,Ahmedabad,2,10,25,15355
Vistara,Kolkata,Goa,2,7,59,11187
Go First,Mumbai,Pune,2,1,44,8296
Go First,Delhi,Hyderabad,0,2,19,4342
Vistara,Mumbai,Hyderabad,0,4,5,6993
Go First,Delhi,Pune,2,9,5,13801
Vistara,Bangalore,Goa,2,2,26,9837
IndiGo,Chennai,Goa,0,10,26,13250
Vistara,Delhi,Jaipur,2,8,26,12552
Air India,Mumbai,Ahmedabad,1,7,54,12395
Air India,Chennai,Hyderabad,1,3,33,5853
IndiGo,Mumbai,Hyderabad,1,3,46,9216
Vistara,Delhi,Ahmedabad,1,6,53,10257
Air India,Chennai,Goa,2,10,57,13992
SpiceJet,Kolkata,Goa,2,10,14,14975
