Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Debt_To_Income_Ratio,Default
55703,337,20813,48,20,19.86,No
76845,652,46892,60,12,27.32,No
73119,314,28001,60,20,10.57,No
110722,345,30649,24,5,17.1,No
35782,585,36316,24,7,22.12,Yes
99098,568,29523,24,18,19.95,No
58152,366,39305,12,16,32.62,Yes
83258,616,22299,36,16,11.94,No
92512,407,18698,60,3,18.15,No
135247,763,18063,12,18,14.12,No
145552,527,27153,36,11,42.41,Yes
62731,504,24001,24,12,12.9,No
127649,308,34801,24,13,5.51,No
67984,817,47604,48,12,20.57,No
106956,841,14639,48,13,10.01,No
119816,802,40943,12,14,6.02,No
46990,726,7074,12,3,29.17,No
35184,314,48781,48,2,43.67,Yes
86635,688,20746,36,14,25.08,No
37583,651,33680,60,6,26.5,No
74985,405,16002,60,18,33.62,Yes
113461,649,19705,24,20,42.46,No
93302,447,33131,48,14,19.28,No
74767,544,49824,60,10,7.05,Yes
74911,828,48051,12,15,31.34,Yes
61356,417,6006,24,4,7.85,No
90980,842,33634,48,13,20.45,No
119026,763,23878,24,7,14.2,No
97025,699,20345,48,11,40.06,No
138758,844,10787,24,16,6.69,No
24291,754,38794,24,16,27.46,No
83992,805,20182,48,13,37.2,No
141682,487,11396,24,8,24.12,No
29094,318,8037,12,10,21.76,No
26201,530,44371,48,9,27.59,Yes
80128,479,31311,48,1,30.1,Yes
132361,825,33214,12,6,38.25,No
137422,757,27726,48,4,32.68,No
99537,479,26969,24,18,7.45,No
134739,564,17950,48,3,29.72,No
59164,699,42035,36,6,24.22,No
31277,525,29336,60,5,26.08,Yes
126503,510,38543,36,16,40.1,Yes
59829,504,34874,48,14,24.74,Yes
121934,491,33117,60,16,33.02,Yes
25925,553,6783,48,4,7.86,No
85239,765,23905,12,14,7.34,No
82573,445,7873,36,13,15.23,No
55172,533,35652,60,14,26.33,Yes
78262,840,41369,60,19,20.99,No
122754,648,38746,12,9,6.45,No
76979,383,27883,24,10,43.69,Yes
28452,374,14173,48,17,21.11,No
47834,412,41367,24,16,42.79,Yes
85668,619,41159,48,2,38.17,No
115096,400,26124,60,18,19.7,No
129573,607,28354,60,8,18.34,No
98074,629,8804,12,11,27.44,No
23619,668,34053,48,7,20.0,No
68853,690,18312,24,1,15.22,No
68104,496,34510,24,20,25.13,Yes
71791,433,22350,60,7,8.5,No
128400,554,46473,48,11,25.77,No
108284,714,40063,60,7,6.29,No
110442,333,48417,24,11,28.92,No
71317,585,22493,60,8,12.09,No
35698,692,40859,36,6,40.88,Yes
103379,748,7375,60,9,24.48,No
