Player,Team,FG%,3P%,FT%,Points
LeBron James,LAL,0.51,0.34,0.75,28
Stephen Curry,GSW,0.48,0.42,0.91,30
Kevin Durant,PHX,0.53,0.38,0.88,29
James Harden,LAC,0.44,0.36,0.86,25
Klay Thompson,GSW,0.46,0.41,0.87,22
Damian Lillard,MIL,0.47,0.39,0.92,27
Luka Doncic,DAL,0.50,0.35,0.78,32
Jayson Tatum,BOS,0.49,0.37,0.85,26
Devin Booker,PHX,0.51,0.38,0.89,28
Giannis Antetokounmpo,MIL,0.55,0.27,0.70,31
Kyrie Irving,DAL,0.50,0.40,0.90,26
Jimmy Butler,MIA,0.48,0.35,0.87,24
Anthony Davis,LAL,0.56,0.25,0.82,27
Joel Embiid,PHI,0.52,0.33,0.86,33
Trae Young,ATL,0.45,0.37,0.88,26
