CustomerID,Age,Gender,Income,SpendingScore,VisitFrequency,LoyaltyPoints
1,25,Male,30000,39,4,120
2,32,Female,45000,81,8,350
3,47,Male,54000,6,2,50
4,22,Female,22000,77,7,280
5,35,Female,65000,40,5,200
6,52,Male,72000,15,3,90
7,29,Female,38000,76,9,410
8,41,Male,59000,35,4,170
9,27,Female,42000,94,10,500
10,50,Male,80000,12,2,70
11,31,Female,47000,72,8,340
12,45,Male,61000,20,3,100
13,24,Female,28000,88,9,430
14,39,Male,56000,30,4,150
15,33,Female,49000,65,7,300
16,55,Male,85000,10,1,40
17,26,Female,35000,79,8,390
18,43,Male,63000,25,3,110
19,28,Female,40000,91,10,480
20,48,Male,75000,18,2,80
