Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagonr,2011,2.85,4.15,5200,Petrol,Individual,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,10.38,2071,Diesel,Dealer,Manual,0
city,2015,6.75,11.23,35000,Petrol,Dealer,Manual,0
baleno,2016,5.95,7.87,26000,Petrol,Dealer,Manual,0
i20,2017,5.50,8.10,18000,Petrol,Individual,Manual,0
creta,2019,11.25,14.90,12000,Diesel,Dealer,Automatic,0
